state,mean income,expenditure_mean,poverty
Johor,8517,5342,4.6
Kedah,5550,3765,9
Kelantan,4885,3505,13.2
Melaka,8057,5707,4.2
Negeri Sembilan,6788,4678,4.4
Pahang,5777,4107,6.3
Pulau Pinang,8267,5322,2
Perak,5779,3903,7.5
Perlis,5664,3834,4
Selangor,12233,6770,1.5
Terengganu,7248,4796,6.2
Sabah,6171,3342,19.7
Sarawak,6457,3915,10.8
W.P. Kuala Lumpur,13325,7823,1.4
W.P. Labuan,8250,4176,2.5
W.P. Putrajaya,13473,8897,0.1
